acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,class
0,0.0142,https://api.spotify.com/v1/audio-analysis/5dTHtzHFPyi8TlTtzoz1J9,0.356,204733,0.96,5dTHtzHFPyi8TlTtzoz1J9,0.0,4,0.209,-3.487,1,0.104,125.921,4,https://api.spotify.com/v1/tracks/5dTHtzHFPyi8TlTtzoz1J9,audio_features,spotify:track:5dTHtzHFPyi8TlTtzoz1J9,0.0857,1
1,0.00149,https://api.spotify.com/v1/audio-analysis/0umQQTb1wwU3slaGJ08Y6j,0.322,268667,0.812,0umQQTb1wwU3slaGJ08Y6j,0.0,0,0.0986,-5.568,0,0.0505,159.933,4,https://api.spotify.com/v1/tracks/0umQQTb1wwU3slaGJ08Y6j,audio_features,spotify:track:0umQQTb1wwU3slaGJ08Y6j,0.124,0
2,0.141,https://api.spotify.com/v1/audio-analysis/2wc8HF4fqX4oPBuZnadO8t,0.625,257280,0.699,2wc8HF4fqX4oPBuZnadO8t,0.0,11,0.301,-4.36,1,0.174,129.844,4,https://api.spotify.com/v1/tracks/2wc8HF4fqX4oPBuZnadO8t,audio_features,spotify:track:2wc8HF4fqX4oPBuZnadO8t,0.789,0
3,0.15,https://api.spotify.com/v1/audio-analysis/5hl649lzykBI2l0MeaVxPf,0.369,237464,0.781,5hl649lzykBI2l0MeaVxPf,0.000236,6,0.124,-6.973,1,0.076,173.728,4,https://api.spotify.com/v1/tracks/5hl649lzykBI2l0MeaVxPf,audio_features,spotify:track:5hl649lzykBI2l0MeaVxPf,0.369,1
4,0.033,https://api.spotify.com/v1/audio-analysis/5t6QgW9guk6MRptJJWgsFY,0.509,273533,0.846,5t6QgW9guk6MRptJJWgsFY,4.37e-05,2,0.12,-6.707,1,0.0369,135.844,4,https://api.spotify.com/v1/tracks/5t6QgW9guk6MRptJJWgsFY,audio_features,spotify:track:5t6QgW9guk6MRptJJWgsFY,0.753,1
5,0.000329,https://api.spotify.com/v1/audio-analysis/0Um0yXpdTbbi0qUMWB3kIs,0.656,188827,0.535,0Um0yXpdTbbi0qUMWB3kIs,0.000493,1,0.319,-9.715,1,0.047,132.257,4,https://api.spotify.com/v1/tracks/0Um0yXpdTbbi0qUMWB3kIs,audio_features,spotify:track:0Um0yXpdTbbi0qUMWB3kIs,0.738,0
6,0.00448,https://api.spotify.com/v1/audio-analysis/3egc5MjSInmkc9fHfjFsKK,0.571,220627,0.932,3egc5MjSInmkc9fHfjFsKK,0.00939,6,0.117,-3.68,0,0.0576,150.014,4,https://api.spotify.com/v1/tracks/3egc5MjSInmkc9fHfjFsKK,audio_features,spotify:track:3egc5MjSInmkc9fHfjFsKK,0.864,1
7,0.0188,https://api.spotify.com/v1/audio-analysis/7kJlTKjNZVT26iwiDUVhRm,0.654,178583,0.796,7kJlTKjNZVT26iwiDUVhRm,0.0,2,0.0948,-4.761,0,0.122,108.854,4,https://api.spotify.com/v1/tracks/7kJlTKjNZVT26iwiDUVhRm,audio_features,spotify:track:7kJlTKjNZVT26iwiDUVhRm,0.491,1
8,0.844,https://api.spotify.com/v1/audio-analysis/7b0Dqv3LaTDaOW1Fr3RQxz,0.521,233280,0.438,7b0Dqv3LaTDaOW1Fr3RQxz,1.36e-06,2,0.103,-7.703,1,0.0292,103.955,4,https://api.spotify.com/v1/tracks/7b0Dqv3LaTDaOW1Fr3RQxz,audio_features,spotify:track:7b0Dqv3LaTDaOW1Fr3RQxz,0.318,1
9,0.000696,https://api.spotify.com/v1/audio-analysis/0ADZ5dmXhlfzjMw6lefoPl,0.518,238173,0.797,0ADZ5dmXhlfzjMw6lefoPl,0.0,6,0.107,-5.153,1,0.0309,132.915,4,https://api.spotify.com/v1/tracks/0ADZ5dmXhlfzjMw6lefoPl,audio_features,spotify:track:0ADZ5dmXhlfzjMw6lefoPl,0.293,1
